"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2,D1";"SOD323F";2;"Z5V1";;;
2;"Q1";"SOT23-3";1;"2N7000";;;
3;"R1";"r_0805";1;"4K7";;;
4;"R3";"r_0805";1;"2k2";;;
5;"C1";"c_0805";1;"10n";;;
6;"C2";"c_0805";1;"100n";;;
7;"P3,PB3";"Pad01";2;"ND";;;
8;"K2";"pin_strip_6b";1;"ISP";;;
9;"P1";"pin_strip_2";1;"LAMP";;;
10;"D3";"SOD523F";1;"1N4448WT";;;
11;"PCB1";"PCB";1;"PCB";;;
12;"U1";"SO8N";1;"ATTINY45-20SU";;;
13;"R2";"r_0805";1;"470E";;;
14;"P2";"Header_12V";1;"12V";;;
